类型,航班起始日期,航班截止日期,班期,航班号,出发站,到达站,STD,STA,ETD,ETA,机型,机号,dd_flag,飞机,机组,乘务,apt_access,VIP,重点航班,rpl_remark,固定衔接环,专项整治,放区,release_seat,alarm_flag,flt_task,航班类型,调整原因,备注,状态,issue_flag,scen_name,bill_no
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1407,PEK,CTU,2025/6/23 16:45,2025/6/23 19:45,2025/6/23 16:45,2025/6/23 19:45,359,B32DL,0,本部,本部,本部,n,0,,"换飞机,",0,,京,DM B-5,0,正班,国内,工程机务,B321M   出现APU SGCU信息，回京需排故，航班调整,拟制,方案,PEK-B-liuxiaolei-2025-06-23-1355,154190474
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1408,CTU,PEK,2025/6/23 21:00,2025/6/23 23:45,2025/6/23 21:00,2025/6/23 23:45,359,B32DL,0,本部,本部,本部,n,0,,"换飞机,",0,,蓉,DM C-5,0,正班,国内,工程机务,B321M   出现APU SGCU信息，回京需排故，航班调整,拟制,方案,PEK-B-liuxiaolei-2025-06-23-1355,154190474
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1408,CTU,PEK,2025/6/23 21:00,2025/6/23 23:45,2025/6/23 21:00,2025/6/23 23:45,359,B32AS,0,本部,本部,本部,n,0,,"换飞机,",0,,蓉,DM C-5,0,正班,国内,,航班计划进入72小时运控权限，航班计划衔接原因，进行调整。,拟制,方案,PEK-A-tianlei-2025-06-23-0724,154211449
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1409,PEK,CKG,2025/6/23 16:00,2025/6/23 18:40,2025/6/23 16:00,2025/6/23 18:40,359,B32DL,1,本部,本部,本部,n,0,,"换飞机,",0,,京,DM B-5,0,正班,国内,,航班计划进入72小时运控权限，航班计划衔接原因，进行调整。,拟制,方案,PEK-A-tianlei-2025-06-23-0724,154211449
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1410,CKG,PEK,2025/6/23 20:05,2025/6/23 22:40,2025/6/23 20:05,2025/6/23 22:40,359,B32DL,1,本部,本部,本部,n,1,,"换飞机,",0,,蓉,DM C-5,0,正班,国内,,航班计划进入72小时运控权限，航班计划衔接原因，进行调整。,拟制,方案,PEK-A-tianlei-2025-06-23-0724,154211449
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1425,PEK,CTU,2025/6/23 17:45,2025/6/23 20:45,2025/6/23 17:45,2025/6/23 20:45,330,B6505,1,本部,西南,西南,n,0,,"机型,换飞机,",0,,京,DM B-5,0,正班,国内,,航班计划进入72小时运控权限，航班计划衔接原因，进行调整。,拟制,方案,PEK-A-tianlei-2025-06-23-0816,154212477
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1426,CTU,PEK,2025/6/23 22:00,2025/6/24 0:45,2025/6/23 22:00,2025/6/24 0:45,33C,B6071,0,西南,西南,西南,n,0,,"时刻,",0,,蓉,DM C-5,0,正班,国内,天气原因,华中航路雷雨流控，并保障25日要客衔接，航班调时,拟制,方案,PEK-B-liuxiaolei-2025-06-23-1104,154189834
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1426,CTU,PEK,2025/6/23 22:00,2025/6/24 0:45,2025/6/24 1:40,2025/6/24 4:25,33C,B6071,0,西南,西南,西南,n,0,,"换飞机,",0,,蓉,DM C-5,0,正班,国内,公司计划,因保障重要运输任务，航班调整。,拟制,方案,PEK-A-gaopeng-2025-06-23-1501,154190820
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1426,CTU,PEK,2025/6/23 22:00,2025/6/24 0:45,2025/6/23 22:00,2025/6/24 0:45,33C,B6072,0,西南,西南,西南,n,0,,"换飞机,",0,,蓉,DM C-5,0,正班,国内,公司计划,因保障重要运输任务，航班调整。,拟制,方案,PEK-B-liuxiaolei-2025-06-23-1053,154189788
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1439,PEK,CKG,2025/6/23 14:00,2025/6/23 16:45,2025/6/23 14:00,2025/6/23 16:45,73H,B1179,0,重庆,本部,本部,n,0,,"换飞机,",0,,京,DM B-6,0,正班,国内,天气原因,因海口机场受雷雨天气影响，航班调整。,拟制,方案,PEK-D-wanghaoliang-2025-06-23-0632,154189135
